region;city;cat;comerc;object;mark
Свердловская область;Екатеринбург;Музеи;да;Музей истории Екатеринбурга;4,5
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей изобразительных искусств;4,7
Свердловская область;Екатеринбург;Музеи;да;Ельцин центр;4,5
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный комплекс «Уктус»;4,5
Свердловская область;Екатеринбург;Активный отдых;да;Горнолыжный центр «Гора Лиственная»;4,4
Свердловская область;Ревда;Активный отдых;да;Горнолыжный комплекс «Гора Волчиха»;4,4
Свердловская область;Бажуково;Природные объекты;да;Парк «Оленьи ручьи»;4,8
Свердловская область;Белокаменный;Спа здоровье;да;Санаторий «Белый камень»;4,6
Свердловская область;Камышлов;Спа здоровье;да;Санаторий «Обуховский»;4,5
Свердловская область;Екатеринбург;Спа здоровье;да;Баден-Баден термы Уктус;4,7
Свердловская область;Шабровский;Природные объекты;нет;Карьер Старая линза;4,6
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;4,8
Свердловская область;Свердловская область;Природные объекты;нет;Конжаковский Камень;4,7
Свердловская область;Свердловская область;Природные объекты;нет;Перевал Дятлова;4,7
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;4,9
Свердловская область;Свердловская область;Религия;нет;Ганина Яма;4,9
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;4,6
Свердловская область;Верхотурье;Религия;нет;Верхотурский Кремль;4,8
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;4,8
Свердловская область;Екатеринбург;Семейный отдых;да;Парк чудес Галилео;4,6
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;4,5
Свердловская область;Екатеринбург;Музеи;да;Музей Истории Науки И Техники Свердловской Железной Дороги;4,7
Свердловская область;Екатеринбург;Музеи;да;Водонапорная башня на Плотинке;4,6
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;4,4
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова;4,6
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;4,8
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;4,7
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;4,7
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловская Государственная Филармония;4,8
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;4,7
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;4,7
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Волхонка;4,7
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;4,8
