region;city;cat;comerc;object;mark;date
Свердловская область;Шабровский;Природные объекты;нет;Карьер Старая линза;5;2020-01
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;5;2020-02
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;5;2020-02
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;5;2020-01
Свердловская область;Екатеринбург;Религия;нет;Ново-Тихвинский женский монастырь;5;2020-01
Свердловская область;Свердловская область;Природные объекты;нет;Перевал Дятлова;5;2020-03
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-03
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-02
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-02
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-02
Свердловская область;Верхняя Пышма;Музеи;да;Музей военной техники «Боевая слава Урала»;5;2020-02
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;4;2020-03
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;5;2020-02
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;4;2020-02
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;5;2020-02
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;5;2020-02
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;4;2020-01
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;5;2020-01
Свердловская область;Екатеринбург;Религия;нет;Храм на крови;5;2020-01
Свердловская область;Верхотурье;Религия;нет;Верхотурский Кремль;5;2020-01
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;5;2020-03
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;5;2020-03
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;5;2020-03
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;5;2020-02
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;5;2020-02
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;5;2020-02
Свердловская область;Качканар;Религия;нет;Буддийский монастырь Шедруб Линг;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Парк чудес Галилео;4;2020-03
Свердловская область;Екатеринбург;Семейный отдых;да;Парк чудес Галилео;5;2020-03
Свердловская область;Екатеринбург;Семейный отдых;да;Парк чудес Галилео;5;2020-02
Свердловская область;Екатеринбург;Семейный отдых;да;Парк чудес Галилео;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Парк чудес Галилео;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-03
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-03
